ADAM9_ITGA6,MIF_CD74,#N/A,,
ADAM9_ITGAV,OSM_LIFR,OSM_LIFR,,
ADAM9_ITGB1,OSM_IL6ST,OSM_IL6ST,,
ADAM9_ITGB5,OSM_OSMR,OSM_OSMR,,
ADCYAP1_ADCYAP1R1,TCN2_LRP2,#N/A,,
ADCYAP1_SCTR,TCN2_CNR1,#N/A,,
ADCYAP1_VIPR1,LGALS1_ITGB1,#N/A,,
ADCYAP1_VIPR2,LGALS1_PTPRC,#N/A,,
ADIPOQ_ADIPOR1,NID2_COL13A1,NID2_COL13A1,,
ADIPOQ_ADIPOR2,GZMB_CHRM3,GZMB_CHRM3,,
ADM2_CALCR,GZMB_IGF2R,GZMB_IGF2R,,
ADM2_CALCRL,RSPO4_LGR6,RSPO4_LGR6,,
ADM2_RAMP1,RSPO4_LGR4,RSPO4_LGR4,,
ADM_CALCR,RSPO4_LGR5,RSPO4_LGR5,,
ADM_CALCRL,OXT_AVPR2,OXT_AVPR2,,
ADM_GPR182,OXT_AVPR1B,OXT_AVPR1B,,
ADM_MRGPRX2,OXT_AVPR1A,OXT_AVPR1A,,
ADM_RAMP2,OXT_OXTR,OXT_OXTR,,
AGRN_ATP1A3,F9_LRP1,F9_LRP1,,
AGRN_LRP4,PCSK1N_GPR171,#N/A,,
AGRN_MUSK,TIMP1_FGFR2,#N/A,,
AGRP_MC3R,TIMP1_CD63,TIMP1_CD63,,
AGRP_MC4R,MMP2_FGFR1,#N/A,,
AGRP_MC5R,MMP2_PECAM1,#N/A,,
AGRP_SDC3,MMP2_CCR2,#N/A,,
AGT_AGTR1,MMP2_SDC2,MMP2_SDC2,,
AGT_AGTR2,CCL22_CCR4,CCL22_CCR4,,
AGT_LRP2,CCL22_DPP4,#N/A,,
AGT_MAS1,CCL22_ACKR2,#N/A,,
AHSG_INSR,CCL17_CCR4,CCL17_CCR4,,
ALB_LRP2,CCL17_ACKR2,#N/A,,
AMELX_LAMP1,CCL17_ACKR1,#N/A,,
AMELY_LAMP1,CCL17_CCR8,CCL17_CCR8,,
AMH_ACVR1,TG_LRP2,TG_LRP2,,
AMH_AMHR2,TG_ASGR1,TG_ASGR1,,
AMH_EGFR,TG_TPO,#N/A,,
ANGPT1_ITGA5,SFRP1_FZD2,SFRP1_FZD2,,
ANGPT1_TEK,SFRP1_FZD6,SFRP1_FZD6,,
ANGPT1_TIE1,PLAT_ITGB2,#N/A,,
ANGPT2_TEK,PLAT_LRP1,PLAT_LRP1,,
ANGPT4_TEK,PLAT_ITGAM,#N/A,,
ANGPTL1_TEK,DKK4_LRP6,#N/A,,
ANGPTL3_ITGA5,DKK4_LRP5,#N/A,,
ANGPTL3_ITGAV,LHB_PTH1R,#N/A,,
ANGPTL3_ITGB3,LHB_ADCYAP1R1,#N/A,,
ANXA1_DYSF,LHB_RAMP2,#N/A,,
ANXA1_EGFR,LHB_VIPR1,#N/A,,
ANXA1_FPR1,LHB_RAMP3,#N/A,,
ANXA1_FPR2,LHB_GPR20,#N/A,,
ANXA1_FPR3,LHB_ADRB2,#N/A,,
APLN_APLNR,LHB_ADRB3,#N/A,,
APOB_LDLR,LHB_TSHR,#N/A,,
APOB_LRP2,LHB_GPR84,#N/A,,
APOB_LSR,LHB_LHCGR,LHB_LHCGR,,
APOB_OLR1,AMH_EGFR,AMH_EGFR,,
APOD_LEPR,AMH_ACVR1,AMH_ACVR1,,
APOE_LDLR,AMH_AMHR2,AMH_AMHR2,,
APOE_LRP1,RETN_GPR25,#N/A,,
APOE_LRP2,EBI3_IL6ST,#N/A,,
APOE_LRP5,EBI3_IL27RA,EBI3_IL27RA,,
APOE_LRP8,TGFB1_EGFR,#N/A,,
APOE_SCARB1,TGFB1_ITGB5,#N/A,,
APOE_SORL1,TGFB1_CXCR4,#N/A,,
APOE_VLDLR,TGFB1_ITGB1,#N/A,,
APP_CAV1,TGFB1_SDC2,TGFB1_SDC2,,
APP_CD74,TGFB1_ENG,TGFB1_ENG,,
APP_FPR2,TGFB1_SMAD3,#N/A,,
APP_GPC1,TGFB1_TGFBR2,TGFB1_TGFBR2,,
APP_LRP1,TGFB1_ITGB3,#N/A,,
APP_NCSTN,TGFB1_TGFBR1,TGFB1_TGFBR1,,
APP_TNFRSF21,TGFB1_ACVRL1,TGFB1_ACVRL1,,
AREGB_EGFR,TGFB1_ITGB6,TGFB1_ITGB6,,
