Adm2_Ramp1,Pdgfb_Pdgfra,Pdgfb_Pdgfra
Agrn_Atp1a3,Pdgfb_Pdgfrb,Pdgfb_Pdgfrb
Agrn_Lrp4,Fasl_Fas,Fasl_Fas
Agrn_Musk,Il4_Il4ra,Il4_Il4ra
Agrp_Mc3r,Il4_Il2ra,#N/A
Agrp_Mc4r,Il4_Tlr2,#N/A
Agrp_Mc5r,Il4_Il2rg,Il4_Il2rg
Agrp_Sdc3,Il4_Il13ra1,Il4_Il13ra1
Agt_Agtr1b,Il4_Il13ra2,Il4_Il13ra2
Agt_Agtr2,Ccl3_Ackr2,Ccl3_Ackr2
Agt_Lrp2,Ccl3_Ccr5,Ccl3_Ccr5
Agt_Mas1,Ccl3_Ccr3,Ccl3_Ccr3
Ahsg_Insr,Ccl3_Ccr1,Ccl3_Ccr1
Alb_Lrp2,Icam4_Itgav,Icam4_Itgav
Amelx_Lamp1,Icam4_Itgam,Icam4_Itgam
Amh_Acvr1,S100a4_Egfr,#N/A
Amh_Amhr2,S100a4_Erbb2,#N/A
Amh_Egfr,Icam2_Itgam,Icam2_Itgam
Angpt1_Itga5,Icam2_Itgal,Icam2_Itgal
Angpt1_Tek,Icam2_Itgb2,Icam2_Itgb2
Angpt1_Tie1,Efnb2_Ephb2,Efnb2_Ephb2
Angpt2_Tek,Efnb2_Epha3,Efnb2_Epha3
Angpt4_Tek,Efnb2_Epha4,Efnb2_Epha4
Angptl1_Tek,Efnb2_Ephb3,Efnb2_Ephb3
Angptl3_Itga5,Efnb2_Epha7,#N/A
Angptl3_Itgav,Efnb2_Ephb4,Efnb2_Ephb4
Angptl3_Itgb3,Efnb2_Epha6,Efnb2_Epha6
Anxa1_Dysf,Efnb2_Ephb6,Efnb2_Ephb6
Anxa1_Egfr,Efnb2_Ephb1,Efnb2_Ephb1
Anxa1_Fpr1,Sost_Lrp5,Sost_Lrp5
Anxa1_Fpr2,Sost_Lrp6,Sost_Lrp6
Anxa1_Fpr3,Col1a1_Itgb1,Col1a1_Itgb1
Apln_Aplnr,Col1a1_Cd44,Col1a1_Cd44
Apob_Ldlr,Col1a1_Cd93,Col1a1_Cd93
Apob_Lrp2,Il16_Grin2c,Il16_Grin2c
Apob_Lsr,Il16_Kcnj4,Il16_Kcnj4
Apob_Olr1,Il16_Grin2d,Il16_Grin2d
Apod_Lepr,Il16_Kcna3,Il16_Kcna3
Apoe_Ldlr,Il16_Kcnd2,Il16_Kcnd2
Apoe_Lrp1,Il16_Kcnj15,Il16_Kcnj15
Apoe_Lrp2,Il16_Kcnd1,Il16_Kcnd1
Apoe_Lrp5,Il16_Cd4,Il16_Cd4
Apoe_Lrp8,Il16_Kcnj10,Il16_Kcnj10
Apoe_Scarb1,Angptl4_Gpihbp1,#N/A
Apoe_Sorl1,Bmp8b_Acvr2b,#N/A
Apoe_Vldlr,Bmp8b_Bmpr1b,#N/A
App_Cav1,Bmp8b_Acvr2a,#N/A
App_Cd74,Bmp8b_Tgfbr2,#N/A
App_Fpr2,Bmp8b_Bmpr2,#N/A
App_Gpc1,Bmp8b_Bmpr1a,#N/A
App_Lrp1,Tgfb1_Itgb1,#N/A
App_Ncstn,Tgfb1_Tgfbr2,Tgfb1_Tgfbr2
App_Tnfrsf21,Tgfb1_Tgfbr1,Tgfb1_Tgfbr1
Areg_Egfr,Tgfb1_Eng,Tgfb1_Eng
Areg_Erbb3,Tgfb1_Sdc2,Tgfb1_Sdc2
Arf1_Chrm3,Tgfb1_Tgfbr3,Tgfb1_Tgfbr3
Arf1_Insr,Tgfb1_Itgb8,Tgfb1_Itgb8
Arf1_Pld2,Tgfb1_Acvrl1,Tgfb1_Acvrl1
Artn_Gfra1,Shh_Cdon,Shh_Cdon
Artn_Gfra3,Shh_Pvr,#N/A
Artn_Ret,Shh_Ptch1,Shh_Ptch1
Avp_Avpr1a,Shh_Lrp2,Shh_Lrp2
Avp_Avpr1b,Shh_Hhip,Shh_Hhip
Avp_Avpr2,Shh_Gpc1,#N/A
Avp_Oxtr,Shh_Gpc6,#N/A
Azgp1_Itgav,Shh_Cav1,#N/A
B2m_Gm11127,Shh_Gas1,#N/A
B2m_Gm7030,Shh_Ptch2,Shh_Ptch2
B2m_Hfe,Shh_Smo,Shh_Smo
Bdnf_Ngfr,Pspn_Gfra4,Pspn_Gfra4
Bdnf_Ntrk2,Pspn_Ret,Pspn_Ret
Bdnf_Sort1,Lamb1_Itgb1,Lamb1_Itgb1
Bgn_Tlr2,Lamb1_Itga6,Lamb1_Itga6
Bgn_Tlr4,Efna2_Epha3,Efna2_Epha3
Bmp10_Acvr2a,Efna2_Epha4,Efna2_Epha4
Bmp10_Acvrl1,Efna2_Epha7,Efna2_Epha7
Bmp10_Bmpr1a,Efna2_Epha6,Efna2_Epha6
Bmp10_Bmpr1b,Efna2_Epha10,#N/A
Bmp10_Bmpr2,Efna2_Epha8,Efna2_Epha8
Bmp10_Eng,Efna2_Epha1,#N/A
Bmp15_Acvr2a,Efna2_Epha2,Efna2_Epha2
Bmp15_Bmpr1a,Efna2_Epha5,Efna2_Epha5
Bmp15_Bmpr1b,Ebi3_Il6st,#N/A
Bmp15_Bmpr2,Ebi3_Il27ra,Ebi3_Il27ra
Bmp2_Acvr1,Comp_Itgav,#N/A
Bmp2_Acvr2a,Comp_Notch1,#N/A
Bmp2_Acvr2b,Comp_Notch3,#N/A
Bmp2_Bmpr1a,Comp_Cd47,#N/A
Bmp2_Bmpr1b,Comp_Itga7,#N/A
Bmp2_Bmpr2,Comp_Cd36,#N/A
Bmp2_Eng,Tgfb3_Tgfbr2,Tgfb3_Tgfbr2
Bmp3_Acvr2b,Tgfb3_Tgfbr1,Tgfb3_Tgfbr1
Bmp4_Bmpr1a,Tgfb3_Eng,Tgfb3_Eng
