ligand,receptor,
WNT10A,FZD1_LRP5,WNT10A_FZD1_LRP5
WNT10A,FZD10_LRP5,WNT10A_FZD10_LRP5
WNT10A,FZD2_LRP5,WNT10A_FZD2_LRP5
WNT10A,FZD3_LRP5,WNT10A_FZD3_LRP5
WNT10A,FZD4_LRP5,WNT10A_FZD4_LRP5
WNT10A,FZD5_LRP5,WNT10A_FZD5_LRP5
WNT10A,FZD6_LRP5,WNT10A_FZD6_LRP5
WNT10A,FZD7_LRP5,WNT10A_FZD7_LRP5
WNT10A,FZD8_LRP5,WNT10A_FZD8_LRP5
WNT10A,FZD9_LRP5,WNT10A_FZD9_LRP5
WNT10B,FZD1_LRP5,WNT10B_FZD1_LRP5
WNT10B,FZD10_LRP5,WNT10B_FZD10_LRP5
WNT10B,FZD2_LRP5,WNT10B_FZD2_LRP5
WNT10B,FZD3_LRP5,WNT10B_FZD3_LRP5
WNT10B,FZD4_LRP5,WNT10B_FZD4_LRP5
WNT10B,FZD5_LRP5,WNT10B_FZD5_LRP5
WNT10B,FZD6_LRP5,WNT10B_FZD6_LRP5
WNT10B,FZD7_LRP5,WNT10B_FZD7_LRP5
WNT10B,FZD8_LRP5,WNT10B_FZD8_LRP5
WNT10B,FZD9_LRP5,WNT10B_FZD9_LRP5
WNT16,FZD1_LRP5,WNT16_FZD1_LRP5
WNT16,FZD10_LRP5,WNT16_FZD10_LRP5
WNT16,FZD2_LRP5,WNT16_FZD2_LRP5
WNT16,FZD3_LRP5,WNT16_FZD3_LRP5
WNT16,FZD4_LRP5,WNT16_FZD4_LRP5
WNT16,FZD5_LRP5,WNT16_FZD5_LRP5
WNT16,FZD6_LRP5,WNT16_FZD6_LRP5
WNT16,FZD7_LRP5,WNT16_FZD7_LRP5
WNT16,FZD8_LRP5,WNT16_FZD8_LRP5
WNT16,FZD9_LRP5,WNT16_FZD9_LRP5
WNT2,FZD1_LRP5,WNT2_FZD1_LRP5
WNT2,FZD10_LRP5,WNT2_FZD10_LRP5
WNT2,FZD2_LRP5,WNT2_FZD2_LRP5
WNT2,FZD3_LRP5,WNT2_FZD3_LRP5
WNT2,FZD4_LRP5,WNT2_FZD4_LRP5
WNT2,FZD5_LRP5,WNT2_FZD5_LRP5
WNT2,FZD6_LRP5,WNT2_FZD6_LRP5
WNT2,FZD7_LRP5,WNT2_FZD7_LRP5
WNT2,FZD8_LRP5,WNT2_FZD8_LRP5
WNT2,FZD9_LRP5,WNT2_FZD9_LRP5
WNT2B,FZD1_LRP5,WNT2B_FZD1_LRP5
WNT2B,FZD10_LRP5,WNT2B_FZD10_LRP5
WNT2B,FZD2_LRP5,WNT2B_FZD2_LRP5
WNT2B,FZD3_LRP5,WNT2B_FZD3_LRP5
WNT2B,FZD4_LRP5,WNT2B_FZD4_LRP5
WNT2B,FZD5_LRP5,WNT2B_FZD5_LRP5
WNT2B,FZD6_LRP5,WNT2B_FZD6_LRP5
WNT2B,FZD7_LRP5,WNT2B_FZD7_LRP5
WNT2B,FZD8_LRP5,WNT2B_FZD8_LRP5
WNT2B,FZD9_LRP5,WNT2B_FZD9_LRP5
WNT3,FZD1_LRP5,WNT3_FZD1_LRP5
WNT3,FZD10_LRP5,WNT3_FZD10_LRP5
WNT3,FZD2_LRP5,WNT3_FZD2_LRP5
WNT3,FZD3_LRP5,WNT3_FZD3_LRP5
WNT3,FZD4_LRP5,WNT3_FZD4_LRP5
WNT3,FZD5_LRP5,WNT3_FZD5_LRP5
WNT3,FZD6_LRP5,WNT3_FZD6_LRP5
WNT3,FZD7_LRP5,WNT3_FZD7_LRP5
WNT3,FZD8_LRP5,WNT3_FZD8_LRP5
WNT3,FZD9_LRP5,WNT3_FZD9_LRP5
WNT3A,FZD1_LRP5,WNT3A_FZD1_LRP5
WNT3A,FZD10_LRP5,WNT3A_FZD10_LRP5
WNT3A,FZD2_LRP5,WNT3A_FZD2_LRP5
WNT3A,FZD3_LRP5,WNT3A_FZD3_LRP5
WNT3A,FZD4_LRP5,WNT3A_FZD4_LRP5
WNT3A,FZD5_LRP5,WNT3A_FZD5_LRP5
WNT3A,FZD6_LRP5,WNT3A_FZD6_LRP5
WNT3A,FZD7_LRP5,WNT3A_FZD7_LRP5
WNT3A,FZD8_LRP5,WNT3A_FZD8_LRP5
WNT3A,FZD9_LRP5,WNT3A_FZD9_LRP5
WNT4,FZD1_LRP5,WNT4_FZD1_LRP5
WNT4,FZD10_LRP5,WNT4_FZD10_LRP5
WNT4,FZD2_LRP5,WNT4_FZD2_LRP5
WNT4,FZD3_LRP5,WNT4_FZD3_LRP5
WNT4,FZD4_LRP5,WNT4_FZD4_LRP5
WNT4,FZD5_LRP5,WNT4_FZD5_LRP5
WNT4,FZD6_LRP5,WNT4_FZD6_LRP5
WNT4,FZD7_LRP5,WNT4_FZD7_LRP5
WNT4,FZD8_LRP5,WNT4_FZD8_LRP5
WNT4,FZD9_LRP5,WNT4_FZD9_LRP5
WNT6,FZD1_LRP5,WNT6_FZD1_LRP5
WNT6,FZD10_LRP5,WNT6_FZD10_LRP5
WNT6,FZD2_LRP5,WNT6_FZD2_LRP5
WNT6,FZD3_LRP5,WNT6_FZD3_LRP5
WNT6,FZD4_LRP5,WNT6_FZD4_LRP5
WNT6,FZD5_LRP5,WNT6_FZD5_LRP5
WNT6,FZD6_LRP5,WNT6_FZD6_LRP5
WNT6,FZD7_LRP5,WNT6_FZD7_LRP5
WNT6,FZD8_LRP5,WNT6_FZD8_LRP5
WNT6,FZD9_LRP5,WNT6_FZD9_LRP5
WNT7A,FZD1_LRP5,WNT7A_FZD1_LRP5
WNT7A,FZD10_LRP5,WNT7A_FZD10_LRP5
WNT7A,FZD2_LRP5,WNT7A_FZD2_LRP5
WNT7A,FZD3_LRP5,WNT7A_FZD3_LRP5
WNT7A,FZD4_LRP5,WNT7A_FZD4_LRP5
WNT7A,FZD5_LRP5,WNT7A_FZD5_LRP5
WNT7A,FZD6_LRP5,WNT7A_FZD6_LRP5
WNT7A,FZD7_LRP5,WNT7A_FZD7_LRP5
WNT7A,FZD8_LRP5,WNT7A_FZD8_LRP5
WNT7A,FZD9_LRP5,WNT7A_FZD9_LRP5
WNT7B,FZD1_LRP5,WNT7B_FZD1_LRP5
WNT7B,FZD10_LRP5,WNT7B_FZD10_LRP5
WNT7B,FZD2_LRP5,WNT7B_FZD2_LRP5
WNT7B,FZD3_LRP5,WNT7B_FZD3_LRP5
WNT7B,FZD4_LRP5,WNT7B_FZD4_LRP5
WNT7B,FZD5_LRP5,WNT7B_FZD5_LRP5
WNT7B,FZD6_LRP5,WNT7B_FZD6_LRP5
WNT7B,FZD7_LRP5,WNT7B_FZD7_LRP5
WNT7B,FZD8_LRP5,WNT7B_FZD8_LRP5
WNT7B,FZD9_LRP5,WNT7B_FZD9_LRP5
WNT8A,FZD1_LRP5,WNT8A_FZD1_LRP5
WNT8A,FZD10_LRP5,WNT8A_FZD10_LRP5
WNT8A,FZD2_LRP5,WNT8A_FZD2_LRP5
WNT8A,FZD3_LRP5,WNT8A_FZD3_LRP5
WNT8A,FZD4_LRP5,WNT8A_FZD4_LRP5
WNT8A,FZD5_LRP5,WNT8A_FZD5_LRP5
WNT8A,FZD6_LRP5,WNT8A_FZD6_LRP5
WNT8A,FZD7_LRP5,WNT8A_FZD7_LRP5
WNT8A,FZD8_LRP5,WNT8A_FZD8_LRP5
WNT8A,FZD9_LRP5,WNT8A_FZD9_LRP5
WNT8B,FZD1_LRP5,WNT8B_FZD1_LRP5
WNT8B,FZD10_LRP5,WNT8B_FZD10_LRP5
WNT8B,FZD2_LRP5,WNT8B_FZD2_LRP5
WNT8B,FZD3_LRP5,WNT8B_FZD3_LRP5
WNT8B,FZD4_LRP5,WNT8B_FZD4_LRP5
WNT8B,FZD5_LRP5,WNT8B_FZD5_LRP5
WNT8B,FZD6_LRP5,WNT8B_FZD6_LRP5
WNT8B,FZD7_LRP5,WNT8B_FZD7_LRP5
WNT8B,FZD8_LRP5,WNT8B_FZD8_LRP5
WNT8B,FZD9_LRP5,WNT8B_FZD9_LRP5
WNT9A,FZD1_LRP5,WNT9A_FZD1_LRP5
WNT9A,FZD10_LRP5,WNT9A_FZD10_LRP5
WNT9A,FZD2_LRP5,WNT9A_FZD2_LRP5
WNT9A,FZD3_LRP5,WNT9A_FZD3_LRP5
WNT9A,FZD4_LRP5,WNT9A_FZD4_LRP5
WNT9A,FZD5_LRP5,WNT9A_FZD5_LRP5
WNT9A,FZD6_LRP5,WNT9A_FZD6_LRP5
WNT9A,FZD7_LRP5,WNT9A_FZD7_LRP5
WNT9A,FZD8_LRP5,WNT9A_FZD8_LRP5
WNT9A,FZD9_LRP5,WNT9A_FZD9_LRP5
WNT9B,FZD1_LRP5,WNT9B_FZD1_LRP5
WNT9B,FZD10_LRP5,WNT9B_FZD10_LRP5
WNT9B,FZD2_LRP5,WNT9B_FZD2_LRP5
WNT9B,FZD3_LRP5,WNT9B_FZD3_LRP5
WNT9B,FZD4_LRP5,WNT9B_FZD4_LRP5
WNT9B,FZD5_LRP5,WNT9B_FZD5_LRP5
WNT9B,FZD6_LRP5,WNT9B_FZD6_LRP5
WNT9B,FZD7_LRP5,WNT9B_FZD7_LRP5
WNT9B,FZD8_LRP5,WNT9B_FZD8_LRP5
WNT9B,FZD9_LRP5,WNT9B_FZD9_LRP5
WNT1,FZD1_LRP6,WNT1_FZD1_LRP6
WNT1,FZD10_LRP6,WNT1_FZD10_LRP6
WNT1,FZD2_LRP6,WNT1_FZD2_LRP6
WNT1,FZD3_LRP6,WNT1_FZD3_LRP6
WNT1,FZD4_LRP6,WNT1_FZD4_LRP6
WNT1,FZD5_LRP6,WNT1_FZD5_LRP6
WNT1,FZD6_LRP6,WNT1_FZD6_LRP6
WNT1,FZD7_LRP6,WNT1_FZD7_LRP6
WNT1,FZD8_LRP6,WNT1_FZD8_LRP6
WNT1,FZD9_LRP6,WNT1_FZD9_LRP6
WNT10A,FZD1_LRP6,WNT10A_FZD1_LRP6
WNT10A,FZD10_LRP6,WNT10A_FZD10_LRP6
WNT10A,FZD2_LRP6,WNT10A_FZD2_LRP6
WNT10A,FZD3_LRP6,WNT10A_FZD3_LRP6
WNT10A,FZD4_LRP6,WNT10A_FZD4_LRP6
WNT10A,FZD5_LRP6,WNT10A_FZD5_LRP6
WNT10A,FZD6_LRP6,WNT10A_FZD6_LRP6
WNT10A,FZD7_LRP6,WNT10A_FZD7_LRP6
WNT10A,FZD8_LRP6,WNT10A_FZD8_LRP6
WNT10A,FZD9_LRP6,WNT10A_FZD9_LRP6
WNT10B,FZD1_LRP6,WNT10B_FZD1_LRP6
WNT10B,FZD10_LRP6,WNT10B_FZD10_LRP6
WNT10B,FZD2_LRP6,WNT10B_FZD2_LRP6
WNT10B,FZD3_LRP6,WNT10B_FZD3_LRP6
WNT10B,FZD4_LRP6,WNT10B_FZD4_LRP6
WNT10B,FZD5_LRP6,WNT10B_FZD5_LRP6
WNT10B,FZD6_LRP6,WNT10B_FZD6_LRP6
WNT10B,FZD7_LRP6,WNT10B_FZD7_LRP6
WNT10B,FZD8_LRP6,WNT10B_FZD8_LRP6
WNT10B,FZD9_LRP6,WNT10B_FZD9_LRP6
WNT16,FZD1_LRP6,WNT16_FZD1_LRP6
WNT16,FZD10_LRP6,WNT16_FZD10_LRP6
WNT16,FZD2_LRP6,WNT16_FZD2_LRP6
WNT16,FZD3_LRP6,WNT16_FZD3_LRP6
WNT16,FZD4_LRP6,WNT16_FZD4_LRP6
WNT16,FZD5_LRP6,WNT16_FZD5_LRP6
WNT16,FZD6_LRP6,WNT16_FZD6_LRP6
WNT16,FZD7_LRP6,WNT16_FZD7_LRP6
WNT16,FZD8_LRP6,WNT16_FZD8_LRP6
WNT16,FZD9_LRP6,WNT16_FZD9_LRP6
WNT2,FZD1_LRP6,WNT2_FZD1_LRP6
WNT2,FZD10_LRP6,WNT2_FZD10_LRP6
WNT2,FZD2_LRP6,WNT2_FZD2_LRP6
WNT2,FZD3_LRP6,WNT2_FZD3_LRP6
WNT2,FZD4_LRP6,WNT2_FZD4_LRP6
WNT2,FZD5_LRP6,WNT2_FZD5_LRP6
WNT2,FZD6_LRP6,WNT2_FZD6_LRP6
WNT2,FZD7_LRP6,WNT2_FZD7_LRP6
WNT2,FZD8_LRP6,WNT2_FZD8_LRP6
WNT2,FZD9_LRP6,WNT2_FZD9_LRP6
WNT2B,FZD1_LRP6,WNT2B_FZD1_LRP6
WNT2B,FZD10_LRP6,WNT2B_FZD10_LRP6
WNT2B,FZD2_LRP6,WNT2B_FZD2_LRP6
WNT2B,FZD3_LRP6,WNT2B_FZD3_LRP6
WNT2B,FZD4_LRP6,WNT2B_FZD4_LRP6
WNT2B,FZD5_LRP6,WNT2B_FZD5_LRP6
WNT2B,FZD6_LRP6,WNT2B_FZD6_LRP6
WNT2B,FZD7_LRP6,WNT2B_FZD7_LRP6
WNT2B,FZD8_LRP6,WNT2B_FZD8_LRP6
WNT2B,FZD9_LRP6,WNT2B_FZD9_LRP6
WNT3,FZD1_LRP6,WNT3_FZD1_LRP6
WNT3,FZD10_LRP6,WNT3_FZD10_LRP6
WNT3,FZD2_LRP6,WNT3_FZD2_LRP6
WNT3,FZD3_LRP6,WNT3_FZD3_LRP6
WNT3,FZD4_LRP6,WNT3_FZD4_LRP6
WNT3,FZD5_LRP6,WNT3_FZD5_LRP6
WNT3,FZD6_LRP6,WNT3_FZD6_LRP6
WNT3,FZD7_LRP6,WNT3_FZD7_LRP6
WNT3,FZD8_LRP6,WNT3_FZD8_LRP6
WNT3,FZD9_LRP6,WNT3_FZD9_LRP6
WNT3A,FZD1_LRP6,WNT3A_FZD1_LRP6
WNT3A,FZD10_LRP6,WNT3A_FZD10_LRP6
WNT3A,FZD2_LRP6,WNT3A_FZD2_LRP6
WNT3A,FZD3_LRP6,WNT3A_FZD3_LRP6
WNT3A,FZD4_LRP6,WNT3A_FZD4_LRP6
WNT3A,FZD5_LRP6,WNT3A_FZD5_LRP6
WNT3A,FZD6_LRP6,WNT3A_FZD6_LRP6
WNT3A,FZD7_LRP6,WNT3A_FZD7_LRP6
WNT3A,FZD8_LRP6,WNT3A_FZD8_LRP6
WNT3A,FZD9_LRP6,WNT3A_FZD9_LRP6
WNT4,FZD1_LRP6,WNT4_FZD1_LRP6
WNT4,FZD10_LRP6,WNT4_FZD10_LRP6
WNT4,FZD2_LRP6,WNT4_FZD2_LRP6
WNT4,FZD3_LRP6,WNT4_FZD3_LRP6
WNT4,FZD4_LRP6,WNT4_FZD4_LRP6
WNT4,FZD5_LRP6,WNT4_FZD5_LRP6
WNT4,FZD6_LRP6,WNT4_FZD6_LRP6
WNT4,FZD7_LRP6,WNT4_FZD7_LRP6
WNT4,FZD8_LRP6,WNT4_FZD8_LRP6
WNT4,FZD9_LRP6,WNT4_FZD9_LRP6
WNT6,FZD1_LRP6,WNT6_FZD1_LRP6
WNT6,FZD10_LRP6,WNT6_FZD10_LRP6
WNT6,FZD2_LRP6,WNT6_FZD2_LRP6
WNT6,FZD3_LRP6,WNT6_FZD3_LRP6
WNT6,FZD4_LRP6,WNT6_FZD4_LRP6
WNT6,FZD5_LRP6,WNT6_FZD5_LRP6
WNT6,FZD6_LRP6,WNT6_FZD6_LRP6
WNT6,FZD7_LRP6,WNT6_FZD7_LRP6
WNT6,FZD8_LRP6,WNT6_FZD8_LRP6
WNT6,FZD9_LRP6,WNT6_FZD9_LRP6
WNT7A,FZD1_LRP6,WNT7A_FZD1_LRP6
WNT7A,FZD10_LRP6,WNT7A_FZD10_LRP6
WNT7A,FZD2_LRP6,WNT7A_FZD2_LRP6
WNT7A,FZD3_LRP6,WNT7A_FZD3_LRP6
WNT7A,FZD4_LRP6,WNT7A_FZD4_LRP6
WNT7A,FZD5_LRP6,WNT7A_FZD5_LRP6
WNT7A,FZD6_LRP6,WNT7A_FZD6_LRP6
WNT7A,FZD7_LRP6,WNT7A_FZD7_LRP6
WNT7A,FZD8_LRP6,WNT7A_FZD8_LRP6
WNT7A,FZD9_LRP6,WNT7A_FZD9_LRP6
WNT7B,FZD1_LRP6,WNT7B_FZD1_LRP6
WNT7B,FZD10_LRP6,WNT7B_FZD10_LRP6
WNT7B,FZD2_LRP6,WNT7B_FZD2_LRP6
WNT7B,FZD3_LRP6,WNT7B_FZD3_LRP6
WNT7B,FZD4_LRP6,WNT7B_FZD4_LRP6
WNT7B,FZD5_LRP6,WNT7B_FZD5_LRP6
WNT7B,FZD6_LRP6,WNT7B_FZD6_LRP6
