ligand,receptor,
Wnt3a,FZD2_LRP5,Wnt3a_FZD2_LRP5
Wnt3a,FZD3_LRP5,Wnt3a_FZD3_LRP5
Wnt3a,FZD4_LRP5,Wnt3a_FZD4_LRP5
Wnt3a,FZD5_LRP5,Wnt3a_FZD5_LRP5
Wnt3a,FZD6_LRP5,Wnt3a_FZD6_LRP5
Wnt3a,FZD7_LRP5,Wnt3a_FZD7_LRP5
Wnt3a,FZD8_LRP5,Wnt3a_FZD8_LRP5
Wnt3a,FZD9_LRP5,Wnt3a_FZD9_LRP5
Wnt4,FZD1_LRP5,Wnt4_FZD1_LRP5
Wnt4,FZD10_LRP5,Wnt4_FZD10_LRP5
Wnt4,FZD2_LRP5,Wnt4_FZD2_LRP5
Wnt4,FZD3_LRP5,Wnt4_FZD3_LRP5
Wnt4,FZD4_LRP5,Wnt4_FZD4_LRP5
Wnt4,FZD5_LRP5,Wnt4_FZD5_LRP5
Wnt4,FZD6_LRP5,Wnt4_FZD6_LRP5
Wnt4,FZD7_LRP5,Wnt4_FZD7_LRP5
Wnt4,FZD8_LRP5,Wnt4_FZD8_LRP5
Wnt4,FZD9_LRP5,Wnt4_FZD9_LRP5
Wnt6,FZD1_LRP5,Wnt6_FZD1_LRP5
Wnt6,FZD10_LRP5,Wnt6_FZD10_LRP5
Wnt6,FZD2_LRP5,Wnt6_FZD2_LRP5
Wnt6,FZD3_LRP5,Wnt6_FZD3_LRP5
Wnt6,FZD4_LRP5,Wnt6_FZD4_LRP5
Wnt6,FZD5_LRP5,Wnt6_FZD5_LRP5
Wnt6,FZD6_LRP5,Wnt6_FZD6_LRP5
Wnt6,FZD7_LRP5,Wnt6_FZD7_LRP5
Wnt6,FZD8_LRP5,Wnt6_FZD8_LRP5
Wnt6,FZD9_LRP5,Wnt6_FZD9_LRP5
Wnt7a,FZD1_LRP5,Wnt7a_FZD1_LRP5
Wnt7a,FZD10_LRP5,Wnt7a_FZD10_LRP5
Wnt7a,FZD2_LRP5,Wnt7a_FZD2_LRP5
Wnt7a,FZD3_LRP5,Wnt7a_FZD3_LRP5
Wnt7a,FZD4_LRP5,Wnt7a_FZD4_LRP5
Wnt7a,FZD5_LRP5,Wnt7a_FZD5_LRP5
Wnt7a,FZD6_LRP5,Wnt7a_FZD6_LRP5
Wnt7a,FZD7_LRP5,Wnt7a_FZD7_LRP5
Wnt7a,FZD8_LRP5,Wnt7a_FZD8_LRP5
Wnt7a,FZD9_LRP5,Wnt7a_FZD9_LRP5
Wnt7b,FZD1_LRP5,Wnt7b_FZD1_LRP5
Wnt7b,FZD10_LRP5,Wnt7b_FZD10_LRP5
Wnt7b,FZD2_LRP5,Wnt7b_FZD2_LRP5
Wnt7b,FZD3_LRP5,Wnt7b_FZD3_LRP5
Wnt7b,FZD4_LRP5,Wnt7b_FZD4_LRP5
Wnt7b,FZD5_LRP5,Wnt7b_FZD5_LRP5
Wnt7b,FZD6_LRP5,Wnt7b_FZD6_LRP5
Wnt7b,FZD7_LRP5,Wnt7b_FZD7_LRP5
Wnt7b,FZD8_LRP5,Wnt7b_FZD8_LRP5
Wnt7b,FZD9_LRP5,Wnt7b_FZD9_LRP5
Wnt8a,FZD1_LRP5,Wnt8a_FZD1_LRP5
Wnt8a,FZD10_LRP5,Wnt8a_FZD10_LRP5
Wnt8a,FZD2_LRP5,Wnt8a_FZD2_LRP5
Wnt8a,FZD3_LRP5,Wnt8a_FZD3_LRP5
Wnt8a,FZD4_LRP5,Wnt8a_FZD4_LRP5
Wnt8a,FZD5_LRP5,Wnt8a_FZD5_LRP5
Wnt8a,FZD6_LRP5,Wnt8a_FZD6_LRP5
Wnt8a,FZD7_LRP5,Wnt8a_FZD7_LRP5
Wnt8a,FZD8_LRP5,Wnt8a_FZD8_LRP5
Wnt8a,FZD9_LRP5,Wnt8a_FZD9_LRP5
Wnt8b,FZD1_LRP5,Wnt8b_FZD1_LRP5
Wnt8b,FZD10_LRP5,Wnt8b_FZD10_LRP5
Wnt8b,FZD2_LRP5,Wnt8b_FZD2_LRP5
Wnt8b,FZD3_LRP5,Wnt8b_FZD3_LRP5
Wnt8b,FZD4_LRP5,Wnt8b_FZD4_LRP5
Wnt8b,FZD5_LRP5,Wnt8b_FZD5_LRP5
Wnt8b,FZD6_LRP5,Wnt8b_FZD6_LRP5
Wnt8b,FZD7_LRP5,Wnt8b_FZD7_LRP5
Wnt8b,FZD8_LRP5,Wnt8b_FZD8_LRP5
Wnt8b,FZD9_LRP5,Wnt8b_FZD9_LRP5
Wnt9a,FZD1_LRP5,Wnt9a_FZD1_LRP5
Wnt9a,FZD10_LRP5,Wnt9a_FZD10_LRP5
Wnt9a,FZD2_LRP5,Wnt9a_FZD2_LRP5
Wnt9a,FZD3_LRP5,Wnt9a_FZD3_LRP5
Wnt9a,FZD4_LRP5,Wnt9a_FZD4_LRP5
Wnt9a,FZD5_LRP5,Wnt9a_FZD5_LRP5
Wnt9a,FZD6_LRP5,Wnt9a_FZD6_LRP5
Wnt9a,FZD7_LRP5,Wnt9a_FZD7_LRP5
Wnt9a,FZD8_LRP5,Wnt9a_FZD8_LRP5
Wnt9a,FZD9_LRP5,Wnt9a_FZD9_LRP5
Wnt9b,FZD1_LRP5,Wnt9b_FZD1_LRP5
Wnt9b,FZD10_LRP5,Wnt9b_FZD10_LRP5
Wnt9b,FZD2_LRP5,Wnt9b_FZD2_LRP5
Wnt9b,FZD3_LRP5,Wnt9b_FZD3_LRP5
Wnt9b,FZD4_LRP5,Wnt9b_FZD4_LRP5
Wnt9b,FZD5_LRP5,Wnt9b_FZD5_LRP5
Wnt9b,FZD6_LRP5,Wnt9b_FZD6_LRP5
Wnt9b,FZD7_LRP5,Wnt9b_FZD7_LRP5
Wnt9b,FZD8_LRP5,Wnt9b_FZD8_LRP5
Wnt9b,FZD9_LRP5,Wnt9b_FZD9_LRP5
Wnt1,FZD1_LRP6,Wnt1_FZD1_LRP6
Wnt1,FZD10_LRP6,Wnt1_FZD10_LRP6
Wnt1,FZD2_LRP6,Wnt1_FZD2_LRP6
Wnt1,FZD3_LRP6,Wnt1_FZD3_LRP6
Wnt1,FZD4_LRP6,Wnt1_FZD4_LRP6
Wnt1,FZD5_LRP6,Wnt1_FZD5_LRP6
Wnt1,FZD6_LRP6,Wnt1_FZD6_LRP6
Wnt1,FZD7_LRP6,Wnt1_FZD7_LRP6
Wnt1,FZD8_LRP6,Wnt1_FZD8_LRP6
Wnt1,FZD9_LRP6,Wnt1_FZD9_LRP6
Wnt10a,FZD1_LRP6,Wnt10a_FZD1_LRP6
Wnt10a,FZD10_LRP6,Wnt10a_FZD10_LRP6
Wnt10a,FZD2_LRP6,Wnt10a_FZD2_LRP6
Wnt10a,FZD3_LRP6,Wnt10a_FZD3_LRP6
Wnt10a,FZD4_LRP6,Wnt10a_FZD4_LRP6
Wnt10a,FZD5_LRP6,Wnt10a_FZD5_LRP6
Wnt10a,FZD6_LRP6,Wnt10a_FZD6_LRP6
Wnt10a,FZD7_LRP6,Wnt10a_FZD7_LRP6
Wnt10a,FZD8_LRP6,Wnt10a_FZD8_LRP6
Wnt10a,FZD9_LRP6,Wnt10a_FZD9_LRP6
Wnt10b,FZD1_LRP6,Wnt10b_FZD1_LRP6
Wnt10b,FZD10_LRP6,Wnt10b_FZD10_LRP6
Wnt10b,FZD2_LRP6,Wnt10b_FZD2_LRP6
Wnt10b,FZD3_LRP6,Wnt10b_FZD3_LRP6
Wnt10b,FZD4_LRP6,Wnt10b_FZD4_LRP6
Wnt10b,FZD5_LRP6,Wnt10b_FZD5_LRP6
Wnt10b,FZD6_LRP6,Wnt10b_FZD6_LRP6
Wnt10b,FZD7_LRP6,Wnt10b_FZD7_LRP6
Wnt10b,FZD8_LRP6,Wnt10b_FZD8_LRP6
Wnt10b,FZD9_LRP6,Wnt10b_FZD9_LRP6
Wnt16,FZD1_LRP6,Wnt16_FZD1_LRP6
Wnt16,FZD10_LRP6,Wnt16_FZD10_LRP6
Wnt16,FZD2_LRP6,Wnt16_FZD2_LRP6
Wnt16,FZD3_LRP6,Wnt16_FZD3_LRP6
Wnt16,FZD4_LRP6,Wnt16_FZD4_LRP6
Wnt16,FZD5_LRP6,Wnt16_FZD5_LRP6
Wnt16,FZD6_LRP6,Wnt16_FZD6_LRP6
Wnt16,FZD7_LRP6,Wnt16_FZD7_LRP6
Wnt16,FZD8_LRP6,Wnt16_FZD8_LRP6
Wnt16,FZD9_LRP6,Wnt16_FZD9_LRP6
Wnt2,FZD1_LRP6,Wnt2_FZD1_LRP6
Wnt2,FZD10_LRP6,Wnt2_FZD10_LRP6
Wnt2,FZD2_LRP6,Wnt2_FZD2_LRP6
